id,species,topic,question
1,Dairy,cow-calf separation,Should dairy calves be separated from their mothers within the first 24 hours after birth?
2,Dairy,cow-calf separation,What are the welfare and health tradeoffs of early cow-calf separation versus keeping them together longer?
3,Dairy,cow-calf separation,Should “cow-calf contact” systems be required for dairy farms even if it reduces milk collection?
4,Dairy,surplus calves,Is it ethical that most dairy bull calves are considered “surplus” and often sold very young?
5,Dairy,surplus calves,Should dairy farms be required to have a guaranteed higher-welfare plan for every male calf born?
6,Dairy,veal production,Should veal production be banned or regulated differently to address calf welfare concerns?
7,Dairy,transport,Should there be a minimum age before calves can be transported off farm?
8,Dairy,transport,Are current transport durations for young calves acceptable from a welfare perspective?
9,Dairy,calf housing,Should individual calf housing be phased out in favor of pair or group housing?
10,Dairy,calf housing,What is the right age by which healthy calves must be housed in pairs or groups?
11,Dairy,calf housing,Do calf hutches provide adequate welfare compared to indoor group pens?
12,Dairy,painful procedures,Should disbudding and dehorning always require pain relief and veterinary oversight?
13,Dairy,painful procedures,Is it acceptable to perform disbudding at very young ages to reduce later pain and risk?
14,Dairy,tethering,Should tethering of cattle be banned due to restrictions on movement and behavior?
15,Dairy,pasture access,Should pasture access be mandatory for dairy cows or is indoor housing acceptable with enrichment?
16,Dairy,pasture access,How many days per year of pasture access should count as meaningful welfare improvement?
17,Dairy,lameness,Should farms be penalized or restricted if lameness rates exceed a threshold?
18,Dairy,genetics,Is breeding for very high milk yield unethical if it increases metabolic stress and health problems?
19,Dairy,culling,Should “downer” cows and emergency culling practices be regulated more strictly for welfare?
20,Dairy,antibiotics,How should farms balance antibiotic stewardship with animal welfare when treating sick animals?
21,Beef,cow-calf separation,Is early weaning in beef systems acceptable and when does it become a welfare concern?
22,Beef,castration,Should castration be restricted to certain ages and require pain relief in all cases?
23,Beef,branding,Is hot-iron branding ever justifiable given pain and alternative identification methods?
24,Beef,feedlots,Are high-density feedlots inherently incompatible with good welfare even with good management?
25,Beef,diet,Is it ethical to feed high-grain diets that increase acidosis risk for faster weight gain?
26,Beef,transport,Should long-distance transport to slaughter be limited to reduce stress and injury?
27,Beef,slaughter,Are current stunning and slaughter compliance checks sufficient to prevent suffering?
28,Beef,housing,Should cattle be guaranteed access to outdoor space rather than continuous confinement?
29,Beef,heat stress,Should there be enforceable heat-stress protections in feedlots like shade and water standards?
30,Beef,liveness checks,Should continuous video monitoring be required in handling and stunning areas?
31,Pigs,gestation stalls,Should gestation stalls for pregnant sows be banned entirely?
32,Pigs,gestation stalls,If stalls are allowed what maximum duration should be permitted during pregnancy?
33,Pigs,farrowing crates,Should farrowing crates be phased out even if it increases piglet crushing risk?
34,Pigs,farrowing systems,Should farms be required to adopt free-farrowing systems if feasible?
35,Pigs,space allowance,What minimum space per pig is necessary to prevent chronic stress and aggression?
36,Pigs,tail docking,Should tail docking be banned unless a farm proves it cannot prevent tail biting by other means?
37,Pigs,teeth clipping,Is routine teeth clipping of piglets acceptable or should it be restricted to rare cases?
38,Pigs,ear notching,Is ear notching humane enough or should less painful ID systems be required?
39,Pigs,castration,Should surgical castration without anesthesia be prohibited?
40,Pigs,castration,Should immunocastration be promoted as a welfare alternative and how should risks be managed?
41,Pigs,early weaning,Is weaning at 3 to 4 weeks acceptable or should later weaning be standard?
42,Pigs,enrichment,Should rooting materials like straw be mandatory to prevent boredom and abnormal behaviors?
43,Pigs,confinement,Are fully slatted floors acceptable or do they cause too many injuries and discomfort?
44,Pigs,group housing,How should farms manage aggression in group-housed sows without reverting to stalls?
