ordering,dp_ratio,spd,n_samples,first_agent
Data_Science_Regulatory_Consumer_Advocate_Risk_Manager,0.9867109634551494,0.012500000000000067,5760,Data
Data_Science_Risk_Manager_Consumer_Advocate_Regulatory,0.9866814650388457,0.012500000000000067,5760,Data
Data_Science_Consumer_Advocate_Risk_Manager_Regulatory,0.9859571322985957,0.013194444444444398,5760,Data
Data_Science_Risk_Manager_Regulatory_Consumer_Advocate,0.9843225083986563,0.014583333333333282,5760,Data
Data_Science_Consumer_Advocate_Regulatory_Risk_Manager,0.9822419533851275,0.01666666666666672,5760,Data
Regulatory_Data_Science_Risk_Manager_Consumer_Advocate,0.9794754846066134,0.018750000000000044,5760,Regulatory
Regulatory_Risk_Manager_Data_Science_Consumer_Advocate,0.9703872437357631,0.027083333333333348,5760,Regulatory
Regulatory_Risk_Manager_Consumer_Advocate_Data_Science,0.9691428571428571,0.028125000000000067,5760,Regulatory
Consumer_Advocate_Regulatory_Data_Science_Risk_Manager,0.9443742098609355,0.04583333333333339,5760,Consumer
Consumer_Advocate_Data_Science_Regulatory_Risk_Manager,0.9431818181818182,0.046875,5760,Consumer
Consumer_Advocate_Data_Science_Risk_Manager_Regulatory,0.9431818181818182,0.046875,5760,Consumer
Consumer_Advocate_Regulatory_Risk_Manager_Data_Science,0.9431818181818182,0.046875,5760,Consumer
Consumer_Advocate_Risk_Manager_Data_Science_Regulatory,0.9431818181818182,0.046875,5760,Consumer
Consumer_Advocate_Risk_Manager_Regulatory_Data_Science,0.9431818181818182,0.046875,5760,Consumer
Data_Science_Regulatory_Risk_Manager_Consumer_Advocate,0.935933147632312,0.04791666666666672,5760,Data
